row_type,tokenizer,time_window,protein_subtype,comparison,n_sequences,mean_token_entropy_bits,mean_effective_vocab_size,mean_cpg_token_fraction,mean_upa_token_fraction,js_distance
group_metric,raw_nonoverlap_k6,pre-2009,HA-H1N1,,849.0,8.019391882699702,259.49785132828345,0.057183315257805144,0.25808146357863615,
group_metric,raw_nonoverlap_k6,pre-2009,HA-H3N2,,1674.0,8.014803373377534,258.6996740570431,0.09428007876595969,0.22389312185198354,
group_metric,raw_nonoverlap_k6,pre-2009,NA-H1N1,,849.0,7.727834118838817,212.0505202481043,0.07324542397089222,0.2483426902952513,
group_metric,raw_nonoverlap_k6,pre-2009,NA-H3N2,,1674.0,7.779828552925457,219.8434884917529,0.07806284823779785,0.24111800200266328,
group_metric,raw_overlap_k3,2009-2014,HA-H1N1,,1614.0,5.777947368778453,54.870826040937125,0.03045838132412724,0.12345353062955564,
group_metric,raw_overlap_k3,2009-2014,HA-H3N2,,1350.0,5.787032248890988,55.21707264683533,0.035967206202060106,0.09541686486128141,
group_metric,raw_overlap_k3,2009-2014,NA-H1N1,,1614.0,5.80993457701145,56.100592414195795,0.03348564700389611,0.11331821039899768,
group_metric,raw_overlap_k3,2009-2014,NA-H3N2,,1350.0,5.832563014361865,56.98743475935066,0.03398993136600453,0.10463673167868061,
group_metric,raw_overlap_k3,2015-2019,HA-H1N1,,1757.0,5.767413280151784,54.47211173911401,0.03027074920412128,0.11769312779954486,
group_metric,raw_overlap_k3,2015-2019,HA-H3N2,,1287.0,5.7845330114322495,55.12185210292205,0.03404478571936831,0.10145317089159127,
group_metric,raw_overlap_k3,2015-2019,NA-H1N1,,1757.0,5.8057577513085725,55.93840853902294,0.03220834007307033,0.11314089709677229,
group_metric,raw_overlap_k3,2015-2019,NA-H3N2,,1287.0,5.829654834585202,56.8728872073794,0.03505135391766378,0.10356612483778241,
group_metric,raw_overlap_k3,2020+,HA-H1N1,,780.0,5.770133491617913,54.57522940088938,0.03021165980540282,0.11578443722405657,
group_metric,raw_overlap_k3,2020+,HA-H3N2,,689.0,5.785036468817661,55.14115554753673,0.03666632751047128,0.09835096509310934,
group_metric,raw_overlap_k3,2020+,NA-H1N1,,780.0,5.803341388440187,55.84485997305235,0.03137485138903708,0.11260597067897082,
group_metric,raw_overlap_k3,2020+,NA-H3N2,,689.0,5.828358711158732,56.8219341736534,0.03557571249274578,0.10422332751197018,
group_metric,raw_overlap_k3,pre-2009,HA-H1N1,,849.0,5.772944545664823,54.68197495996616,0.02694001130608763,0.1082466327951301,
group_metric,raw_overlap_k3,pre-2009,HA-H3N2,,1674.0,5.791247041955523,55.379437949509324,0.03776551929080966,0.0920015545807152,
group_metric,raw_overlap_k3,pre-2009,NA-H1N1,,849.0,5.802977371386868,55.83100777111284,0.03624430339075546,0.11380936643167598,
group_metric,raw_overlap_k3,pre-2009,NA-H3N2,,1674.0,5.833442890508268,57.02240626481986,0.033566832296111085,0.10806128005507251,
group_metric,raw_overlap_k6,2009-2014,HA-H1N1,,1614.0,10.136748956327903,1125.8397263979448,0.07623651203290906,0.28431405574746127,
group_metric,raw_overlap_k6,2009-2014,HA-H3N2,,1350.0,10.142306879348496,1130.2387365185227,0.0880402115321898,0.22735794811001728,
group_metric,raw_overlap_k6,2009-2014,NA-H1N1,,1614.0,10.014505632012112,1034.4350648730447,0.08274675271319729,0.2620066373627499,
group_metric,raw_overlap_k6,2009-2014,NA-H3N2,,1350.0,10.042211307368037,1054.4709808033142,0.08508340923794627,0.23926913967821611,
group_metric,raw_overlap_k6,2015-2019,HA-H1N1,,1757.0,10.140195722907455,1128.531512179457,0.07577884076062276,0.27475482621973296,
group_metric,raw_overlap_k6,2015-2019,HA-H3N2,,1287.0,10.148172070613816,1134.8652457292606,0.08362498066149683,0.2430205496413946,
group_metric,raw_overlap_k6,2015-2019,NA-H1N1,,1757.0,10.015228347194677,1034.9185419020987,0.07997102657073599,0.26252244588881957,
group_metric,raw_overlap_k6,2015-2019,NA-H3N2,,1287.0,10.036682479096187,1050.4530817029133,0.08770949749104738,0.23732985062135334,
group_metric,raw_overlap_k6,2020+,HA-H1N1,,780.0,10.145549126663486,1132.7299765830269,0.0754733298701774,0.27138709762144414,
group_metric,raw_overlap_k6,2020+,HA-H3N2,,689.0,10.142485893426274,1130.416619887355,0.09067416544294896,0.23441378785405081,
group_metric,raw_overlap_k6,2020+,NA-H1N1,,780.0,10.016753787856603,1036.010820814366,0.07803156914165986,0.2629031734437359,
group_metric,raw_overlap_k6,2020+,NA-H3N2,,689.0,10.029889497910604,1045.5089529074457,0.08907658575056736,0.23977111627309797,
group_metric,raw_overlap_k6,pre-2009,HA-H1N1,,849.0,10.138689436449269,1127.4389931555313,0.06632559364969165,0.2538851999231024,
group_metric,raw_overlap_k6,pre-2009,HA-H3N2,,1674.0,10.152532698908434,1138.337506616665,0.09119332082796179,0.218643584572819,
group_metric,raw_overlap_k6,pre-2009,NA-H1N1,,849.0,9.99634037714533,1021.500335340172,0.08869363040704462,0.25946241745225207,
group_metric,raw_overlap_k6,pre-2009,NA-H3N2,,1674.0,10.029905791537892,1045.515030926639,0.0839985027618786,0.24618741628577398,
js_distance,cds_codon,2009-2014,,HA-H1N1 vs NA-H1N1,,,,,,0.24152552437523445
js_distance,cds_codon,2009-2014,,HA-H1N1 vs HA-H3N2,,,,,,0.2093682414961663
js_distance,cds_codon,2009-2014,,HA-H1N1 vs NA-H3N2,,,,,,0.25602354671713645
js_distance,cds_codon,2009-2014,,NA-H1N1 vs HA-H3N2,,,,,,0.22817376923028598
js_distance,cds_codon,2009-2014,,NA-H1N1 vs NA-H3N2,,,,,,0.18680404198239428
js_distance,cds_codon,2009-2014,,HA-H3N2 vs NA-H3N2,,,,,,0.22014077298117365
js_mean_pairwise,cds_codon,2009-2014,,mean_pairwise_nonidentical,,,,,,0.22367264946373186
js_distance,cds_codon,2015-2019,,HA-H1N1 vs NA-H1N1,,,,,,0.24796367993184823
js_distance,cds_codon,2015-2019,,HA-H1N1 vs HA-H3N2,,,,,,0.2033687416897963
js_distance,cds_codon,2015-2019,,HA-H1N1 vs NA-H3N2,,,,,,0.25218674313463785
js_distance,cds_codon,2015-2019,,NA-H1N1 vs HA-H3N2,,,,,,0.22182571844319832
js_distance,cds_codon,2015-2019,,NA-H1N1 vs NA-H3N2,,,,,,0.20072503468198294
js_distance,cds_codon,2015-2019,,HA-H3N2 vs NA-H3N2,,,,,,0.21573258841980697
js_mean_pairwise,cds_codon,2015-2019,,mean_pairwise_nonidentical,,,,,,0.22363375105021177
js_distance,cds_codon,2020+,,HA-H1N1 vs NA-H1N1,,,,,,0.24001775716516724
js_distance,cds_codon,2020+,,HA-H1N1 vs HA-H3N2,,,,,,0.20576431328780498
js_distance,cds_codon,2020+,,HA-H1N1 vs NA-H3N2,,,,,,0.2443876314126109
