tokenizer,group_a,group_b,js_distance
raw_overlap_k3,HA-H1N1,HA-H3N2,0.09607323675264409
raw_overlap_k3,HA-H1N1,NA-H1N1,0.11601858033680523
raw_overlap_k3,HA-H1N1,NA-H3N2,0.12706595763987955
raw_overlap_k3,HA-H3N2,HA-H1N1,0.09607323675264409
raw_overlap_k3,HA-H3N2,HA-H3N2,0.0
raw_overlap_k3,HA-H3N2,NA-H1N1,0.11828731751635098
raw_overlap_k3,HA-H3N2,NA-H3N2,0.1172454086710857
raw_overlap_k3,NA-H1N1,HA-H1N1,0.11601858033680523
raw_overlap_k3,NA-H1N1,HA-H3N2,0.11828731751635098
raw_overlap_k3,NA-H1N1,NA-H1N1,0.0
raw_overlap_k3,NA-H1N1,NA-H3N2,0.09196160159984865
raw_overlap_k3,NA-H3N2,HA-H1N1,0.12706595763987955
raw_overlap_k3,NA-H3N2,HA-H3N2,0.1172454086710857
raw_overlap_k3,NA-H3N2,NA-H1N1,0.09196160159984865
raw_overlap_k3,NA-H3N2,NA-H3N2,0.0
raw_overlap_k4,HA-H1N1,HA-H1N1,0.0
raw_overlap_k4,HA-H1N1,HA-H3N2,0.19869112030867472
raw_overlap_k4,HA-H1N1,NA-H1N1,0.2242628275873474
raw_overlap_k4,HA-H1N1,NA-H3N2,0.2378579822030017
raw_overlap_k4,HA-H3N2,HA-H1N1,0.19869112030867472
raw_overlap_k4,HA-H3N2,HA-H3N2,0.0
raw_overlap_k4,HA-H3N2,NA-H1N1,0.23114694227248075
raw_overlap_k4,HA-H3N2,NA-H3N2,0.2367049919189931
raw_overlap_k4,NA-H1N1,HA-H1N1,0.2242628275873474
raw_overlap_k4,NA-H1N1,HA-H3N2,0.23114694227248075
raw_overlap_k4,NA-H1N1,NA-H1N1,0.0
raw_overlap_k4,NA-H1N1,NA-H3N2,0.21854591745437818
raw_overlap_k4,NA-H3N2,HA-H1N1,0.2378579822030017
raw_overlap_k4,NA-H3N2,HA-H3N2,0.2367049919189931
raw_overlap_k4,NA-H3N2,NA-H1N1,0.21854591745437818
raw_overlap_k4,NA-H3N2,NA-H3N2,0.0
raw_overlap_k5,HA-H1N1,HA-H1N1,0.0
raw_overlap_k5,HA-H1N1,HA-H3N2,0.39209979755657276
raw_overlap_k5,HA-H1N1,NA-H1N1,0.40707532066724056
raw_overlap_k5,HA-H1N1,NA-H3N2,0.4305133738674797
raw_overlap_k5,HA-H3N2,HA-H1N1,0.39209979755657276
raw_overlap_k5,HA-H3N2,HA-H3N2,0.0
raw_overlap_k5,HA-H3N2,NA-H1N1,0.4250060931868068
raw_overlap_k5,HA-H3N2,NA-H3N2,0.44722204237925495
raw_overlap_k5,NA-H1N1,HA-H1N1,0.40707532066724056
raw_overlap_k5,NA-H1N1,HA-H3N2,0.4250060931868068
raw_overlap_k5,NA-H1N1,NA-H1N1,0.0
raw_overlap_k5,NA-H1N1,NA-H3N2,0.4416824240746981
raw_overlap_k5,NA-H3N2,HA-H1N1,0.4305133738674797
raw_overlap_k5,NA-H3N2,HA-H3N2,0.44722204237925495
raw_overlap_k5,NA-H3N2,NA-H1N1,0.4416824240746981
raw_overlap_k5,NA-H3N2,NA-H3N2,0.0
raw_overlap_k6,HA-H1N1,HA-H1N1,0.0
raw_overlap_k6,HA-H1N1,HA-H3N2,0.6378302240037416
raw_overlap_k6,HA-H1N1,NA-H1N1,0.6612245105893564
raw_overlap_k6,HA-H1N1,NA-H3N2,0.6859701541694109
raw_overlap_k6,HA-H3N2,HA-H1N1,0.6378302240037416
raw_overlap_k6,HA-H3N2,HA-H3N2,0.0
raw_overlap_k6,HA-H3N2,NA-H1N1,0.6877291288965048
raw_overlap_k6,HA-H3N2,NA-H3N2,0.7206016692912675
raw_overlap_k6,NA-H1N1,HA-H1N1,0.6612245105893564
raw_overlap_k6,NA-H1N1,HA-H3N2,0.6877291288965048
raw_overlap_k6,NA-H1N1,NA-H1N1,0.0
raw_overlap_k6,NA-H1N1,NA-H3N2,0.7155234504145216
raw_overlap_k6,NA-H3N2,HA-H1N1,0.6859701541694109
raw_overlap_k6,NA-H3N2,HA-H3N2,0.7206016692912675
raw_overlap_k6,NA-H3N2,NA-H1N1,0.7155234504145216
raw_overlap_k6,NA-H3N2,NA-H3N2,0.0
