tokenizer,protein_subtype,metric,n,mean,std,ci_lower,ci_upper,ci_width
cds_nonoverlap_k3_offset2,NA-H1N1,token_entropy_bits,100,5.625615569927577,0.0004275368624367705,5.624687785993865,5.626347418238497,0.0016596322446318368
cds_nonoverlap_k3_offset2,NA-H1N1,effective_vocab_size,100,49.373886151308604,0.01451991409088224,49.342382260742376,49.398696925562525,0.056314664820149574
cds_nonoverlap_k3_offset2,NA-H1N1,cpg_token_fraction,100,0.03771862809632321,0.0001054276627805645,0.037529574334454835,0.037933567651754874,0.00040399331730003873
cds_nonoverlap_k3_offset2,NA-H1N1,upa_token_fraction,100,0.09245526665874754,0.00010739010673031512,0.0922606800844377,0.09269195795803217,0.00043127787359446834
cds_nonoverlap_k3_offset2,NA-H3N2,token_entropy_bits,100,5.631232952823135,0.00043122722477673017,5.630386595339456,5.632073490671933,0.0016868953324777891
cds_nonoverlap_k3_offset2,NA-H3N2,effective_vocab_size,100,49.56677563247029,0.014809029099104651,49.53781151069001,49.59562034942418,0.05780883873416798
cds_nonoverlap_k3_offset2,NA-H3N2,cpg_token_fraction,100,0.0382931363057133,8.113118039697391e-05,0.03813921172665197,0.038464747236969396,0.000325535510317429
cds_nonoverlap_k3_offset2,NA-H3N2,upa_token_fraction,100,0.095026838790465,9.845642504155194e-05,0.0948540151227682,0.09522827448658201,0.0003742593638138142
raw_nonoverlap_k6,HA-H1N1,token_entropy_bits,100,8.018846028090351,0.0008448567299774788,8.017234190120067,8.020569389663354,0.003335199543286649
raw_nonoverlap_k6,HA-H1N1,effective_vocab_size,100,259.4029415291222,0.15257828724693034,259.11462751103795,259.71505482729805,0.6004273162600953
raw_nonoverlap_k6,HA-H1N1,cpg_token_fraction,100,0.07239325069559817,0.00045892563365189506,0.07136015383018869,0.07321871997744316,0.0018585661472544646
raw_nonoverlap_k6,HA-H1N1,upa_token_fraction,100,0.2771899000355134,0.0005884625898267245,0.27626359669299766,0.2784251114726238,0.002161514779626117
raw_nonoverlap_k6,HA-H3N2,token_entropy_bits,100,8.040469901625075,0.0009677425986444161,8.03859180723123,8.042283233282664,0.0036914260514340214
raw_nonoverlap_k6,HA-H3N2,effective_vocab_size,100,263.3453109575971,0.1753329632664199,263.0059311526153,263.672378146844,0.6664469942286928
raw_nonoverlap_k6,HA-H3N2,cpg_token_fraction,100,0.09003647063983534,0.00030954894957392067,0.08936474479056974,0.09067088802825056,0.0013061432376808152
raw_nonoverlap_k6,HA-H3N2,upa_token_fraction,100,0.23995102426300566,0.0005241643135113558,0.2389809539205716,0.24093266007366007,0.0019517061530884838
raw_nonoverlap_k6,NA-H1N1,token_entropy_bits,100,7.771094869945459,0.0009048167157785309,7.7694875862680925,7.772865922691203,0.003378336423110362
raw_nonoverlap_k6,NA-H1N1,effective_vocab_size,100,218.48418617010063,0.13541847974760807,218.24306676052063,218.74828478284593,0.5052180223252947
raw_nonoverlap_k6,NA-H1N1,cpg_token_fraction,100,0.078895429433633,0.0003301547170865821,0.07832490922898512,0.07953674955565081,0.0012118403266656863
