panel,subtype,protein,dinucleotide,n,mean,median,std,q05,q95
smoke,H3N2,HA,GT,200,0.7193382452810689,0.7157775780370155,0.02674806294387203,0.6835834106888432,0.7615261039879241
smoke,H3N2,NA,GT,200,0.9702296667874508,0.9755127608434393,0.02384750003416304,0.9287102957829401,1.0024369370371125
mvp,H1N1,HA,TA,5000,0.6979762166143713,0.7003858244901606,0.031788022853130427,0.639609733037164,0.7445169718821476
mvp,H1N1,NA,TA,5000,0.6736654549656592,0.6744403595240328,0.0125669959702687,0.6518223541882334,0.6930341910590179
mvp,H3N2,HA,TA,5000,0.5847119352415509,0.5853232514980384,0.023370288870961577,0.5464046465601039,0.6200133061946644
mvp,H3N2,NA,TA,5000,0.6492126740507171,0.6462593780919828,0.021593711229591372,0.617675825858091,0.6883857953321479
smoke,H1N1,HA,TA,200,0.686306141054455,0.6913075502595327,0.03476545300031879,0.6354383069085227,0.7414766942744754
smoke,H1N1,NA,TA,200,0.6696331980497676,0.6707330807364985,0.013000257622964974,0.6485719582004088,0.6900910493552609
smoke,H3N2,HA,TA,200,0.5845729103394478,0.5890953352981287,0.023869021375005326,0.5434286308808962,0.6190127849448397
smoke,H3N2,NA,TA,200,0.6515928603555047,0.6477011132319423,0.022824718724355365,0.6221223752711895,0.6945271569587631
mvp,H1N1,HA,TC,5000,1.1087606123410565,1.1163293726289285,0.03073325913524439,1.0573544529217498,1.1497325194228636
mvp,H1N1,NA,TC,5000,1.1590064776996052,1.1636996210286987,0.03233600528168875,1.095472780845946,1.2032994799727839
mvp,H3N2,HA,TC,5000,1.072975016880431,1.074392463116673,0.0201307300920397,1.0377557825531987,1.103842913833993
mvp,H3N2,NA,TC,5000,1.0951135896101105,1.0991296383118563,0.028312587472038263,1.0355757385177773,1.1360714248979131
smoke,H1N1,HA,TC,200,1.112568467960815,1.1190291871008229,0.03165162185351051,1.0572155088166901,1.155368061640245
smoke,H1N1,NA,TC,200,1.147143052626027,1.1519146201451333,0.03710379639286953,1.0840846850434167,1.1988083412269697
smoke,H3N2,HA,TC,200,1.0718242544849752,1.0735942385785484,0.020044899041272955,1.0390651761941563,1.1008868576747641
smoke,H3N2,NA,TC,200,1.0924574857805442,1.0964026831157248,0.029572163448540634,1.0351567630697414,1.1323120175570685
mvp,H1N1,HA,TG,5000,1.372394505928765,1.3749837513183654,0.041793403959350314,1.3033931184455994,1.4427664323954343
mvp,H1N1,NA,TG,5000,1.358367304261298,1.3582167790809814,0.017054499124448744,1.3317892217090332,1.388303262393428
mvp,H3N2,HA,TG,5000,1.4148040926433718,1.415949470982675,0.02859879809731909,1.366025444307629,1.4564648833219376
mvp,H3N2,NA,TG,5000,1.4320787476455443,1.4319939248717972,0.024396660925826808,1.3918441511287492,1.4747275177336183
smoke,H1N1,HA,TG,200,1.3810557493556286,1.381448118483226,0.04403911859379293,1.307369291696705,1.4515926588506425
smoke,H1N1,NA,TG,200,1.3593892574145032,1.3583296197074803,0.018027032787623805,1.3309163320010173,1.3873700755045257
smoke,H3N2,HA,TG,200,1.4159159445039802,1.4140428442472264,0.029172785492514335,1.370607017220212,1.4572973518408459
smoke,H3N2,NA,TG,200,1.430176187163396,1.4294418762193475,0.02369279446785786,1.3946089617776563,1.4711465001533555
mvp,H1N1,HA,TT,5000,1.0178906834175192,1.0170082817886366,0.0272807864276041,0.9753882352941178,1.0681299854080375
mvp,H1N1,NA,TT,5000,0.9676382598799539,0.963460211758262,0.030141589872151247,0.9310449615497528,1.0280052832312783
mvp,H3N2,HA,TT,5000,1.1458935386112716,1.142902873130819,0.021241951374835536,1.1175774371799856,1.1901070918454262
mvp,H3N2,NA,TT,5000,0.9586812788604804,0.9592189452443369,0.020038392242647387,0.927302864819866,0.9907495962934901
smoke,H1N1,HA,TT,200,1.0182322614316115,1.015173522389126,0.026078150344814345,0.9840247173291038,1.063820439821603
smoke,H1N1,NA,TT,200,0.9817506986823333,0.974729306638509,0.03440431442078392,0.9320177328252378,1.03777922790379
smoke,H3N2,HA,TT,200,1.146377222794447,1.1439519564423897,0.020450083596033237,1.1184048477934518,1.1825615104142861
smoke,H3N2,NA,TT,200,0.9589793329459355,0.9597682326695658,0.021446152642416994,0.9269316973905036,0.9955545880587551
